"id_localidad","localidad","id_provincia"
"2000010","Ciudad Autónoma de Buenos Aires","2"
"6007010","Carhué","6"
"6007020","Colonia San Miguel Arcángel","6"
"6007030","Delfín Huergo","6"
"6007040","Espartillar","6"
"6007050","Esteban Agustín Gascón","6"
"6007060","La Pala","6"
"6007070","Maza","6"
"6007080","Rivera","6"
"6007100","Villa Margarita","6"
"6007110","Yutuyaco","6"
"6014010","Adolfo Gonzales Chaves","6"
"6014020","De La Garma","6"
"6014030","Juan E. Barra","6"
"6014040","Vásquez","6"
"6021010","Alberti","6"
"6021020","Coronel Seguí","6"
"6021030","Mechita","6"
"6021040","Pla","6"
"6021050","Villa Grisolía","6"
"6021060","Villa María","6"
"6021070","Villa Ortiz","6"
"6028010","Almirante Brown","6"
"6035010","Avellaneda","6"
"6042010","Ayacucho","6"
"6042020","La Constancia","6"
"6042030","Solanet","6"
"6042040","Udaquiola","6"
"6049010","Ariel","6"
"6049020","Azul","6"
"6049030","Cacharí","6"
"6049040","Chillar","6"
"6049050","16 de Julio","6"
"6056010","Bahía Blanca","6"
"6056020","Cabildo","6"
"6056030","General Daniel Cerri","6"
"6063010","Balcarce","6"
"6063020","Los Pinos","6"
"6063030","Napaleofú","6"
"6063040","Ramos Otero","6"
"6063050","San Agustín","6"
"6063060","Villa Laguna La Brava","6"
"6070010","Baradero","6"
"6070020","Irineo Portela","6"
"6070030","Santa Coloma","6"
"6070040","Villa Alsina","6"
"6077010","Arrecifes","6"
"6077020","Todd","6"
"6077030","Viña","6"
"6084010","Barker","6"
"6084020","Benito Juárez","6"
"6084030","López","6"
"6084040","Tedín Uriburu","6"
"6084050","Villa Cacique","6"
"6091010","Berazategui","6"
"6098010","Berisso","6"
"6105010","Hale","6"
"6105020","Juan F. Ibarra","6"
"6105040","Paula","6"
"6105050","Pirovano","6"
"6105060","San Carlos de Bolívar","6"
"6105070","Urdampilleta","6"
"6105080","Villa Lynch Pueyrredón","6"
"6112005","Asamblea","6"
"6112010","Bragado","6"
"6112020","Comodoro Py","6"
"6112030","General O'Brien","6"
"6112040","Irala","6"
"6112050","La Limpia","6"
"6112060","Juan F. Salaberry","6"
"6112070","Mechita","6"
"6112080","Olascoaga","6"
"6112090","Warnes","6"
"6119010","Altamirano","6"
"6119015","Barrio El Mirador","6"
"6119020","Barrio Las Golondrinas","6"
"6119030","Barrio Los Bosquecitos","6"
"6119040","Barrio Parque Las Acacias","6"
"6119045","Campos de Roca","6"
"6119050","Coronel Brandsen","6"
"6119055","Club de Campo Las Malvinas","6"
"6119060","Gómez","6"
"6119070","Jeppener","6"
"6119080","Oliden","6"
"6119085","Posada de los Lagos","6"
"6119090","Samborombón","6"
"6126010","Los Cardales","6"
"6126020","Barrio Los Pioneros (Barrio Tavella)","6"
"6126030","Campana","6"
"6126035","Chacras del Río Luján","6"
"6126040","Río Luján","6"
"6134010","Alejandro Petión","6"
"6134020","Barrio El Taladro","6"
"6134030","Cañuelas","6"
"6134040","Gobernador Udaondo","6"
"6134050","Máximo Paz","6"
"6134060","Santa Rosa","6"
"6134070","Uribelarrea","6"
"6134080","Vicente Casares","6"
"6140010","Capitán Sarmiento","6"
"6140020","La Luisa","6"
"6147010","Bellocq","6"
"6147020","Cadret","6"
"6147030","Carlos Casares","6"
"6147040","Colonia Mauricio","6"
"6147050","Hortensia","6"
"6147060","La Sofía","6"
"6147070","Mauricio Hirsch","6"
"6147080","Moctezuma","6"
"6147090","Ordoqui","6"
"6147095","Santo Tomás","6"
"6147100","Smith","6"
"6154010","Carlos Tejedor","6"
"6154020","Colonia Seré","6"
"6154030","Curarú","6"
"6154040","Timote","6"
"6154050","Tres Algarrobos","6"
"6161010","Carmen de Areco","6"
"6161020","Pueblo Gouin","6"
"6161030","Tres Sargentos","6"
"6168010","Castelli","6"
"6168020","Centro Guerrero","6"
"6168030","Cerro de la Gloria","6"
"6175010","Colón","6"
"6175020","Villa Manuel Pomar","6"
"6175030","Pearson","6"
"6175040","Sarasa","6"
"6182010","Bajo Hondo","6"
"6182020","Balneario Pehuen Co","6"
"6182025","Pago Chico","6"
"6182030","Punta Alta","6"
"6182050","Villa General Arias","6"
"6189010","Aparicio","6"
"6189020","Marisol","6"
"6189030","Coronel Dorrego","6"
"6189040","El Perdido","6"
"6189050","Faro","6"
"6189060","Irene","6"
"6189070","Oriente","6"
"6189075","Paraje La Ruta","6"
"6189080","San Román","6"
"6196010","Coronel Pringles","6"
"6196020","El Divisorio","6"
"6196030","El Pensamiento","6"
"6196040","Indio Rico","6"
"6196050","Lartigau","6"
"6203010","Cascada","6"
"6203020","Coronel Suárez","6"
"6203030","Curamalal","6"
"6203040","D'Orbigny","6"
"6203050","Huanguelén","6"
"6203060","Pasman","6"
"6203070","San José","6"
"6203080","Santa María","6"
"6203090","Santa Trinidad","6"
"6203100","Villa La Arcadia","6"
"6210010","Castilla","6"
"6210020","Chacabuco","6"
"6210030","Los Angeles","6"
"6210040","O'Higgins","6"
"6210050","Rawson","6"
"6217003","Barrio Lomas Altas","6"
"6217010","Chascomús","6"
"6217015","Laguna Vitel","6"
"6217020","Manuel J. Cobo","6"
"6217030","Villa Parque Girado","6"
"6224005","Benitez","6"
"6224010","Chivilcoy","6"
"6224020","Emilio Ayarza","6"
"6224030","Gorostiaga","6"
"6224040","La Rica","6"
"6224050","Moquehuá","6"
"6224060","Ramón Biaus","6"
"6224070","San Sebastián","6"
"6231010","Andant","6"
"6231020","Arboledas","6"
"6231030","Daireaux","6"
"6231040","La Larga","6"
"6231060","Salazar","6"
"6238010","Dolores","6"
"6238020","Sevigne","6"
"6245010","Ensenada","6"
"6252010","Escobar","6"
"6260010","Esteban Echeverría","6"
"6266010","Arroyo de la Cruz","6"
"6266020","Capilla del Señor","6"
"6266030","Diego Gaynor","6"
"6266040","Los Cardales","6"
"6266050","Parada Orlando","6"
"6266060","Parada Robles - Pavón","6"
"6270010","Ezeiza","6"
"6274010","Florencio Varela","6"
"6277010","Blaquier","6"
"6277020","Florentino Ameghino","6"
"6277030","Porvenir","6"
"6280005","Centinela del Mar","6"
"6280010","Comandante Nicanor Otamendi","6"
"6280020","Mar del Sur","6"
"6280030","Mechongué","6"
"6280040","Miramar","6"
"6287010","General Alvear","6"
"6294010","Arribeños","6"
"6294020","Ascensión","6"
"6294030","Estación Arenales","6"
"6294040","Ferré","6"
"6294050","General Arenales","6"
"6294060","La Angelita","6"
"6294070","La Trinidad","6"
"6301010","General Belgrano","6"
"6301020","Gorchs","6"
"6308010","General Guido","6"
"6308020","Labardén","6"
"6315010","General Juan Madariaga","6"
"6322010","General La Madrid","6"
"6322020","La Colina","6"
"6322030","Las Martinetas","6"
"6322040","Líbano","6"
"6322050","Pontaut","6"
"6329010","General Hornos","6"
"6329020","General Las Heras","6"
"6329030","La Choza","6"
"6329050","Plomer","6"
"6329060","Villars","6"
"6336020","General Lavalle","6"
"6336030","Pavón","6"
"6343010","Barrio Río Salado","6"
"6343020","Loma Verde","6"
"6343030","Ranchos","6"
"6343040","Villanueva","6"
"6351010","Colonia San Ricardo","6"
"6351020","General Pinto","6"
"6351030","Germania","6"
"6351035","Gunther","6"
"6351040","Villa Francia","6"
"6351050","Villa Roth","6"
"6357020","Barrio El Boquerón","6"
"6357050","Barrio La Gloria","6"
"6357060","Barrio Santa Paula","6"
"6357070","Batán","6"
"6357080","Chapadmalal","6"
"6357090","El Marquesado","6"
"6357100","Estación Chapadmalal","6"
"6357110","Mar del Plata","6"
"6357120","Sierra de los Padres","6"
"6364030","General Rodríguez","6"
"6371010","General San Martín","6"
"6385010","Baigorrita","6"
"6385020","La Delfina","6"
"6385030","Los Toldos","6"
"6385040","San Emilio","6"
"6385050","Zavalía","6"
"6392010","Banderaló","6"
"6392020","Cañada Seca","6"
"6392030","Coronel Charlone","6"
"6392040","Emilio V. Bunge","6"
"6392050","General Villegas","6"
"6392060","Massey","6"
"6392070","Pichincha","6"
